Standard ID,Title,Discipline,Source,Local File,Status
DEP 33.67.01.31-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.11.31-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.64.10.10,Electrical Engineering Design,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/CODE_AND_STANDARD/MANUAL ELECTRICAL ENGINEERING GUIDELINES DEP 33.64.10.10-Gen.pdf,Available in Standards Library
DEP 33.64.10.12,Electrical Supply and Generation-Design and Operation,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.64.10.32,Electrical Network Monitoring and Control System for Industrial,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.64.10.33,Electromagnetic Compatibility (EMC),General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.11.31,Synchronous AC Machines,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.11.32,Packaged Unit AC Generator Sets,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.40.31,Power Transformers,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.50.31,Static DC Uninterruptible Power Supply (DC UPS) Units,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.50.32,Static AC Uninterruptible Power Supply Unit (Static A.C.UPS unit),General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.65.60.30,Solar Power Systems,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.66.05.31,Electrical Machines - Cage-Induction Types,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.66.05.33,AC Electrical Variable Speed Drive Systems,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.67.01.31,Low Voltage Switchgear & Control Gear Assemblies,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.67.51.31,High-Voltage Switch Gear and Control Gear Assemblies for Rated Voltages,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.68.30.32,Electrical Trace Heating,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.68.30.33,Electrical Process Heaters,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 63.10.08.11,Field Commissioning & Maintenance of Electrical Installations & Equipment,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.00.01.30,Structural Design & Engineering of Onshore Structures,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/CODE_AND_STANDARD/DEP 34.00.01.30-Gen.pdf,Available in Standards Library
DEP 34.11.00.10,Onshore & Nearshore Site Investigations,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/CODE_AND_STANDARD/dep-34110010-site-investigations-pdf-free.pdf,Available in Standards Library
DEP 34.11.00.11,Site Preparations & Earthworks Including Tank Foundations and Tank Farms,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.11.00.12,Geotechnical & Foundation Engineering - Onshore,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.13.20.31,"Road Paving , Surfacing, Slope Protection & Fencing",Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/DEP_34.13.20.31-GEN_Road_Works.pdf,Available in Standards Library
DEP 34.14.20.31,Drainage systems and primary treatment facilities,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.17.00.32,Design & Engineering of Buildings,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
